Abies alba,European Silver-fir
Arum maculatum,Lords-and-Ladies
Arum maculatum x italicum,
Aruncus dioicus,Buck's-beard
Arundo donax,
Asarina procumbens,Trailing Snapdragon
Asarum europaeum,Asarabacca
Asparagus officinalis,Garden Asparagus
Asparagus officinalis ssp prostratus,Wild Asparagus
Asparagus prostratus,Wild Asparagus
Asperugo procumbens,Madwort
Asperula arvensis,Blue Woodruff
Asperula cynanchica,Squinancywort
Asperula cynanchica subsp. cynanchica,
Asperula cynanchica subsp. occidentalis,
Asperula laevigata,
Asperula orientalis,Annual Woodruff
Asperula taurina,Pink Woodruff
Asperula tinctoria,Dyer's Woodruff
Asphodeline lutea,Yellow Asphodel
Asphodelus albus,White Asphodel
Asphodelus fistulosus,Hollow-stemmed Asphodel
Asphodelus ramosus,
Aspidistra elatior,Cast-iron-plant
Asplenium adiantum-nigrum,Black Spleenwort
Asplenium adiantum-nigrum x obovatum = A. x sarniense,
Asplenium adiantum-nigrum x onopteris = A. x ticinense,
Asplenium adiantum-nigrum x septentrionale = A. x contrei,
Asplenium ceterach,Rustyback
Asplenium fontanum,Smooth Rock-spleenwort
Asplenium marinum,Sea Spleenwort
Asplenium obovatum,Lanceolate Spleenwort
Asplenium obovatum subsp. lanceolatum,
Asplenium onopteris,Irish Spleenwort
Asplenium ruta-muraria,Wall-rue
Asplenium ruta-muraria x septentrionale = A. x murbeckii,
Asplenium scolopendrium,Hart's-tongue
Asplenium x jacksonii,
Asplenium x microdon,
Asplenium x confluens,
Asplenium septentrionale,Forked Spleenwort
Asplenium trichomanes,Maidenhair Spleenwort
Asplenium trichomanes subsp. pachyrachis,
Asplenium trichomanes subsp. quadrivalens,
Asplenium trichomanes subsp. trichomanes,
Asplenium trichomanes x ruta-muraria = A. x clermontiae,
Asplenium trichomanes x septentrionale = A. x alternifolium,Alternate-leaved Spleenwort
Asplenium viride,Green Spleenwort
Aster ageratoides,
Aster amellus,European Michaelmas-daisy
Aster ascendens,Long-leaved Aster
Aster concinnus,Narrow-leaved Smooth-aster
Aster cordifolius,Blue Wood-aster
Aster dumosus,Bushy Aster
Aster ericoides,Heath Aster
Aster junceus,Rush Aster
Aster laevis,Glaucous Michaelmas-daisy
Aster laevis x novi-belgii = A. x versicolor,Late Michaelmas-daisy
Aster lanceolatus,Narrow-leaved Michaelmas-daisy
Aster lateriflorus,Starved Aster
Aster linosyris,Goldilocks Aster
Aster macrophyllus,Large-leaved Aster
Aster novae-angliae,Hairy Michaelmas-daisy
Aster novi-belgii,Confused Michaelmas-daisy
Aster novi-belgii agg.,
Aster novi-belgii x lanceolatus = A. x salignus,Common Michaelmas-daisy
Aster pilosus,Frost Aster
Aster praealtus,
Aster prenanthoides,Crooked-stem Aster
Aster puniceus,Red-stalk Aster
Aster schreberi,Nettle-leaved Michaelmas-daisy
Aster sedifolius,
Aster spectabilis,Showy Aster
Aster squamatus,Saltmarsh Aster
Aster subulatus,Annual Saltmarsh-aster
Aster tripolium,Sea Aster
Aster umbellatus,Tall White-aster
Aster vimineus,Small White-aster
Asteriscus aquaticus,
Asteriscus maritimus,
Astilbe chinensis,Tall False-buck's-beard
Astilbe japonica,False-buck's-beard
Astilbe japonica x chinensis x rosea = A. x arendsii,Red False-buck's-beard
Astilbe rivularis,Tall False-buck's-beard
Astragalus alpinus,Alpine Milk-vetch
Astragalus boeticus,
Astragalus cicer,Chick-pea Milk-vetch
Astragalus cruciatus,
Astragalus danicus,Purple Milk-vetch
Astragalus glycyphyllos,Wild Liquorice
Astragalus hamosus,
Astragalus hispidulus,
Astragalus nuttallianus,
Astragalus odoratus,Lesser Milk-vetch
Astragalus scorpioides,
Astragalus sesameus,
Astragalus stella,
Astragalus tribuloides,
Astrantia carniolica,Carnic Masterwort
Astrantia major,Astrantia
Astrantia major ssp major,Astrantia
Astrantia major ssp carinthiaca,
Astrantia maxima,
Astrantia minor,Lesser Masterwort
Astrebla lappacea,
Athanasia crithmifolia,
Athanasia trifurcata,
Athyrium distentifolium,Alpine Lady-fern
Athyrium filix-femina,Lady-fern
Athyrium flexile,Newman's Lady-fern
Atractylis cancellata,
Atractylis humilis,
Atriplex australasica,
Atriplex calotheca,
Atriplex eardleyae,Bell Saltbush
Atriplex glabriuscula,Babington's Orache
Atriplex glabriuscula x longipes = A. x taschereaui,Taschereau's Orache
Atriplex glabriuscula x praecox,
Atriplex glauca,
Atriplex halimus,Shrubby Orache
Atriplex hortensis,Garden Orache
Atriplex laciniata,Frosted Orache
Atriplex limbata,Spreading Saltbush
Atriplex littoralis,Grass-leaved Orache
Atriplex littoralis x patula,
Atriplex longipes,Long-stalked Orache
Atriplex micrantha,
Atriplex muelleri,Annual Saltbush
Atriplex oblongifolia,
Atriplex patula,Common Orache
Atriplex pedunculata,Pedunculate Sea-purslane
Atriplex platensis,
Atriplex portulacoides,Sea-purslane
Atriplex praecox,Early Orache
Atriplex prostrata,Spear-leaved Orache
Atriplex prostrata x glabriuscula,
Atriplex prostrata x littoralis = A. x hulmeana,
Atriplex prostrata x longipes = A. x gustafssoniana,Kattegat Orache
Atriplex rosea,Redscale
Atriplex sagittata,Purple Orache
Atriplex semibaccata,Berry Saltbush
Atriplex semilunaris,
Atriplex spongiosa,Pop Saltbush
Atriplex stylosa,
Atriplex suberecta,Australian Orache
Atriplex tatarica,
Atropa belladonna,Deadly Nightshade
Aubrieta deltoidea,Aubretia
Aucuba japonica,Spotted-laurel
Aurinia saxatilis,Golden Alison
Avena barbata,Slender Oat
Avena brevis,
Avena byzantina,Algerian Oat
Avena fatua,Wild-oat
Avena fatua x sativa,
Avena x hybrida,
Avena nuda,Naked Oat
Avena sativa,Oat
Avena sativa subsp. praegravis,
Avena sativa subsp. sativa,
Avena sterilis,
Avena sterilis subsp. ludoviciana,Winter Wild-oat
Avena sterilis subsp. sterilis,Animated Oat
Avena strigosa,Bristle Oat
Avenula pratensis,Meadow Oat-grass
Avenula pubescens,Downy Oat-grass
Axonopus affinis,
Axonopus compressus,Carpet-grass
Axonopus repens,
Axyris amaranthoides,Russian Pigweed
Azolla filiculoides,Water Fern
